Town,Total_Voters,Democrat,Republican,Libertarian,Unenrolled,Democrat_Total,Republican_Total,Population
BARNSTABLE,33864,7887,5224,121,20412,20166,13357,45193
BOURNE,14391,2909,2182,46,9068,8090,6069,19754
BREWSTER,8106,2105,1157,32,4740,5164,2838,9820
CHATHAM,5748,1233,1143,15,3316,2954,2738,6125
DENNIS,11870,2804,1653,39,7247,7363,4341,14207
EASTHAM,4306,1247,536,13,2477,2979,1281,4956
FALMOUTH,24757,6745,3044,62,14765,16919,7635,31531
HARWICH,10918,2736,1712,35,6391,6667,4172,12243
MASHPEE,11380,2645,1713,35,6839,6796,4401,14006
ORLEANS,5402,1409,928,9,3025,3233,2129,5890
PROVINCETOWN,2958,1723,83,11,1128,2799,135,2942
SANDWICH,15995,3181,2849,53,9736,8317,7449,20675
TRURO,1912,762,124,5,1004,1625,265,2003
WELLFLEET,2850,1131,234,7,1449,2332,482,2750
YARMOUTH,19037,4767,2849,58,11172,11760,7028,23793
ADAMS,5941,1879,485,24,3500,4661,1203,8485
ALFORD,386,164,21,1,197,339,43,494
BECKET,1534,421,194,3,906,1041,480,1779
CHESHIRE,2410,573,255,6,1557,1650,735,3235
CLARKSBURG,1167,254,80,3,820,878,276,1702
DALTON,4681,1296,477,15,2868,3392,1249,6756
EGREMONT,1021,423,65,8,516,870,134,1225
FLORIDA,524,87,53,0,380,323,197,752
GREAT BARRINGTON,4757,2031,314,12,2339,4057,627,7104
HANCOCK,490,97,69,3,319,283,202,717
HINSDALE,1382,331,136,4,899,968,398,2032
LANESBOROUGH,2263,593,237,13,1394,1589,635,3091
LEE,4183,1198,345,20,2557,3183,917,5943
LENOX,3804,1640,347,11,1789,3117,659,5025
MONTEREY,669,275,67,3,320,532,130,961
MOUNT WASHINGTON,129,37,9,0,83,104,25,167
NEW ASHFORD,195,37,15,1,139,136,55,228
NEW MARLBOROUGH,1170,371,134,9,643,843,305,1509
NORTH ADAMS,8822,2898,575,46,5201,7238,1436,13708
OTIS,1134,240,173,3,715,655,473,1612
PERU,633,139,72,0,408,408,211,847
PITTSFIELD,28621,11510,2416,143,14346,23367,4905,44737
RICHMOND,1197,409,96,2,677,957,225,1475
SANDISFIELD,605,187,73,5,340,432,168,915
SAVOY,504,76,27,3,389,363,129,692
SHEFFIELD,2334,708,302,10,1298,1618,690,3257
STOCKBRIDGE,1660,708,145,1,787,1361,279,1947
TYRINGHAM,352,106,41,2,203,252,98,327
WASHINGTON,416,118,36,0,261,318,97,538
WEST STOCKBRIDGE,1166,443,64,5,649,1010,146,1306
WILLIAMSTOWN,4990,2367,302,18,2286,4394,561,7754
WINDSOR,675,147,71,1,454,453,219,899
ACUSHNET,7510,2089,611,17,4769,5779,1690,10303
ATTLEBORO,29614,6857,3627,151,18616,19033,10067,43593
BERKLEY,4914,957,671,19,3198,2837,1989,6411
DARTMOUTH,22344,7045,2316,77,12638,16556,5443,34032
DIGHTON,5507,1128,760,34,3509,3224,2173,7086
EASTON,16979,4149,2448,55,10173,10547,6223,23112
FAIRHAVEN,11497,3257,1083,41,6972,8489,2823,15873
FALL RIVER,50156,22349,4070,249,22751,41595,7575,88857
FREETOWN,6571,1404,782,30,4264,4143,2307,8870
MANSFIELD,17102,3866,2344,67,10636,10487,6359,23184
NEW BEDFORD,58198,25043,3874,231,28235,49495,7657,95072
NORTH ATTLEBOROUGH,20254,3848,3154,86,13012,10999,9015,28712
NORTON,12957,2626,1741,41,8375,7662,5080,19031
RAYNHAM,11767,2490,1622,49,7451,7002,4561,13383
REHOBOTH,9311,1450,1556,42,6149,4416,4739,11608
SEEKONK,10505,2129,1201,35,7017,6615,3732,13722
SOMERSET,13337,4312,1365,54,7489,10000,3166,18165
SWANSEA,12527,3302,1506,63,7524,8469,3863,15865
TAUNTON,35132,10424,3235,172,20887,26364,8182,55874
WESTPORT,12131,3802,1535,50,6608,8509,3436,15532
AQUINNAH,371,170,9,0,192,352,19,311
CHILMARK,1003,449,52,2,493,891,103,866
EDGARTOWN,3723,1258,479,11,1948,2669,1016,4067
GOSNOLD,129,20,18,0,89,67,60,75
OAK BLUFFS,3924,1452,400,10,2040,3051,841,4527
TISBURY,3538,1293,272,5,1948,2902,611,3949
WEST TISBURY,2564,1064,149,6,1328,2229,312,2740
AMESBURY,12596,3264,1573,63,7525,8342,4020,16283
ANDOVER,24481,6047,3442,56,14834,15500,8823,33201
BEVERLY,28419,7680,2897,100,17408,20320,7665,39502
BOXFORD,6330,1025,1273,19,3951,2787,3462,7965
DANVERS,20680,4397,2478,64,13524,13046,7353,26493
ESSEX,2792,590,421,7,1746,1609,1148,3504
GEORGETOWN,6196,1207,1045,21,3862,3277,2837,8183
GLOUCESTER,21946,5941,2029,73,13667,16129,5508,28789
GROVELAND,5144,982,786,11,3313,2822,2259,6459
HAMILTON,6015,1167,1053,18,3728,3127,2821,7764
HAVERHILL,42976,11953,4979,193,25215,29753,12394,60879
IPSWICH,11238,2603,1494,22,7016,7061,4052,13175
LAWRENCE,42269,22523,2023,115,17321,38416,3451,76377
LYNN,53792,23690,3245,176,26212,46744,6403,90329
LYNNFIELD,9315,1758,1697,27,5752,4685,4522,11596
MANCHESTER-BY-THE-SEA,4236,965,720,15,2504,2399,1790,5136
MARBLEHEAD,15857,4281,2180,68,9160,10350,5271,19808
MERRIMAC,5185,999,686,22,3428,3031,2082,6338
METHUEN,34881,11322,4031,124,19012,25342,9023,47255
MIDDLETON,6655,1279,1059,26,4247,3602,2983,8987
NAHANT,2719,893,250,12,1548,2102,589,3410
NEWBURY,5373,1172,785,17,3346,3176,2127,6666
NEWBURYPORT,14586,4346,1724,51,8308,10294,4084,17416
